2010-10-25 11:35:54.826700: Successfully scanned file test-data/DNS-data
2010-10-25 11:35:54.826700: Error in formatting - could not add the following records:
Line:44629|+arrow-pc.eecs.qmul.ac.uk:138.37.8^224.94.37.138.in-addr.arpa:enchilada.eecs.qmul.ac.uk.:864008.157:86400|IP address or machine name is invalid.
Line:46551|^_services._dns-sd._udp.dcs.qmul.ac.uk:_http._tcp.dcs.qmul.ac.uk:300|IP address or machine name is invalid.
Line:46552|^_services._dns-sd._udp.dcs.qmul.ac.uk:_ipp._tcp.dcs.qmul.ac.uk:300|IP address or machine name is invalid.
Line:46553|^b._dns-sd._udp.dcs.qmul.ac.uk:dcs.qmul.ac.uk:86400|IP address or machine name is invalid.
Line:46554|^lb._dns-sd._udp.dcs.qmul.ac.uk:dcs.qmul.ac.uk:86400|IP address or machine name is invalid.
Line:46555|^_http._tcp.dcs.qmul.ac.uk:JANET\ Roaming\ Service._http._tcp.dcs.qmul.ac.uk|IP address or machine name is invalid.
2010-10-25 11:35:54.826700|Error|Machine Name: www.actionlada.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 85.
2010-10-25 11:35:54.826700|Error|Machine Name: actionlada.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 86.
2010-10-25 11:35:54.826700|Error|Machine Name: www.ltcc.ac.uk, IP Address: 138.37.87.12, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 87.
2010-10-25 11:35:54.826700|Error|Machine Name: www.queenmaryhistoricalresearch.org, IP Address: 138.37.209.29, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 88.
2010-10-25 11:35:54.826700|Error|Machine Name: queenmaryhistoricalresearch.org, IP Address: 138.37.209.29, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 89.
2010-10-25 11:35:54.826700|Error|Machine Name: www.icuk-online.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 90.
2010-10-25 11:35:54.826700|Error|Machine Name: icuk-online.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 91.
2010-10-25 11:35:54.826700|Error|Machine Name: www.icukonline.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 92.
2010-10-25 11:35:54.826700|Error|Machine Name: icukonline.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 93.
2010-10-25 11:35:54.826700|Error|Machine Name: www.earlymoderndressandtextiles.ac.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 94.
2010-10-25 11:35:54.826700|Error|Machine Name: www.qmulconferences.co.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 95.
2010-10-25 11:35:54.826700|Error|Machine Name: www.qmulholidays.co.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 96.
2010-10-25 11:35:54.826700|Error|Machine Name: www.qmulhospitality.co.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 97.
2010-10-25 11:35:54.826700|Error|Machine Name: www.qmulgroups.co.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 98.
2010-10-25 11:35:54.826700|Error|Machine Name: www.qmulstay.com, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 99.
2010-10-25 11:35:54.826700|Error|Machine Name: archiveofthenow.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 100.
2010-10-25 11:35:54.826700|Error|Machine Name: www.archiveofthenow.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 101.
2010-10-25 11:35:54.826700|Error|Machine Name: www-test.archiveofthenow.org, IP Address: 138.37.211.162, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 102.
2010-10-25 11:35:54.826700|Error|Machine Name: www.bartscrm.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 103.
2010-10-25 11:35:54.826700|Error|Machine Name: www.SAPCMadingley09.org.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 104.
2010-10-25 11:35:54.826700|Error|Machine Name: www.SAPCMadingleyhall09.org.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 105.
2010-10-25 11:35:54.826700|Error|Machine Name: www.learnmentalheatlhcare.com, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 106.
2010-10-25 11:35:54.826700|Error|Machine Name: www.learnmentalheatlhcare.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 107.
2010-10-25 11:35:54.826700|Error|Machine Name: www.learnmentalheatlhcare.org.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 108.
2010-10-25 11:35:54.826700|Error|Machine Name: www.learnmentalhealthcare.com, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 109.
2010-10-25 11:35:54.826700|Error|Machine Name: www.learnmentalhealthcare.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 110.
2010-10-25 11:35:54.826700|Error|Machine Name: www.learnmentalhealthcare.org.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 111.
2010-10-25 11:35:54.826700|Error|Machine Name: www.beyondtext.ac.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 112.
2010-10-25 11:35:54.826700|Error|Machine Name: projects.beyondtext.ac.uk, IP Address: 138.37.211.162, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 113.
2010-10-25 11:35:54.826700|Error|Machine Name: www.qmresidences.co.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 114.
2010-10-25 11:35:54.826700|Error|Machine Name: www.eugate.org.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 115.
2010-10-25 11:35:54.826700|Error|Machine Name: refluxhelp.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 116.
2010-10-25 11:35:54.826700|Error|Machine Name: www.refluxhelp.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 117.
2010-10-25 11:35:54.826700|Error|Machine Name: qmbioenterprises.co.uk, IP Address: 91.194.75.66, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 118.
2010-10-25 11:35:54.826700|Error|Machine Name: www.qmbioenterprises.co.uk, IP Address: 91.194.75.66, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 119.
2010-10-25 11:35:54.826700|Error|Machine Name: qmbioenterprises.com, IP Address: 91.194.75.66, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 120.
2010-10-25 11:35:54.826700|Error|Machine Name: www.qmbioenterprises.com, IP Address: 91.194.75.66, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 121.
2010-10-25 11:35:54.826700|Error|Machine Name: tb-eurogen.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 122.
2010-10-25 11:35:54.826700|Error|Machine Name: www.tb-eurogen.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 123.
2010-10-25 11:35:54.826700|Error|Machine Name: tbhivgroup.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 124.
2010-10-25 11:35:54.826700|Error|Machine Name: www.tbhivgroup.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 125.
2010-10-25 11:35:54.826700|Error|Machine Name: www.actiononsalt.org.uk, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 126.
2010-10-25 11:35:54.826700|Error|Machine Name: www.worldactiononsalt.com, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 127.
2010-10-25 11:35:54.826700|Error|Machine Name: wacp2012.org, IP Address: 138.37.7.80, DNS type:2NA | could not save to database - You cannot create this record because it already exists. DNS ID: 128.
